Strain_code,Species,fold_compare,fold_compare_rep,foldchange,Locus,CC,Lineage
FSL S11-0136,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep1_parent,3,lmo1409,CC4,I
FSL S11-0146,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep1_parent,3,lmo1409,CC37,II
FSL S11-0167,Innocua,Fold_substreaked_parent,Fold_substreakedrep1_parent,1,bcrABC,,
FSL S11-0176,Innocua,Fold_substreaked_parent,Fold_substreakedrep1_parent,2,lmo1409,,
FSL S11-0216,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep1_parent,3,lmo1409,CC388,I
FSL S11-0238,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep1_parent,3,lmo1409,,
FSL S11-0241,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep1_parent,3,lmo1409,,
FSL S11-0256,Welshimeri,Fold_substreaked_parent,Fold_substreakedrep1_parent,0.5,bcrABC,,
FSL S11-0272,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep1_parent,3,lmo1409,CC4,I
FSL S11-0274,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep1_parent,3,lmo1409,,
FSL S11-0280,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep1_parent,3,lmo1409,,
FSL S11-0315,Innocua,Fold_substreaked_parent,Fold_substreakedrep1_parent,2,lmo1409,,
FSL S11-0322,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep1_parent,1,lmo1409,,
FSL S11-0386,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep1_parent,3,lmo1409,CC6,I
FSL S11-0426,Innocua,Fold_substreaked_parent,Fold_substreakedrep1_parent,2,lmo1409,,
FSL S11-0429,Seeligeri,Fold_substreaked_parent,Fold_substreakedrep1_parent,3,lmo1409,,
FSL S11-0432,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep1_parent,1,bcrABC,CC155,II
FSL S11-0456,Innocua,Fold_substreaked_parent,Fold_substreakedrep1_parent,2,lmo1409,,
FSL F6-0674,Ivanovii,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,,
FSL R12-0030,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,,
FSL R12-0049,Ivanovii,Fold_substreaked_parent,Fold_substreakedrep2_parent,6,lmo1409,,
FSL R12-0085,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC19,II
FSL R12-0093,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,ST1861,II
FSL R12-0098,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC155,II
FSL R12-0099,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC9,II
FSL R12-0129,Welshimeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo2588,,
FSL R12-0130,Welshimeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo2588,,
FSL R12-0133,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC37,II
FSL R12-0189,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,1.5,Tn6188,CC5,I
FSL R12-0326,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,bcrABC,CC5,I
FSL R12-0260,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC268,III
FSL R12-0181,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC29,II
FSL R12-0274,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC193,II
FSL R12-0324,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC4,I
FSL R12-0334,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC9,II
FSL R12-0359,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,bcrABC,CC5,I
FSL R9-9884,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,bcrABC,CC9,II
FSL R9-9908,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,bcrABC,CC9,II
FSL S10-1873,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,1,bcrABC,CC6,I
FSL S10-1884,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC369,II
FSL S10-1977,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC369,II
FSL S10-2131,Innocua,Fold_substreaked_parent,Fold_substreakedrep2_parent,2,lmo1409,,
FSL S10-2151,Monocytogenes,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo1409,CC204,II
FSL S10-2222,Welshimeri,Fold_substreaked_parent,Fold_substreakedrep2_parent,3,lmo2588,,
